Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,BG_activity.g,BX_activity.g,CB_activity.g,LAP_activity.g,NAG_activity.g,TimePoint,Stage,kgdw_ha,FracN.leco,FracC.leco,kgN_ha,RGR,AGR,Nprod,NupR,d15N,X15N_AtPercent,FracN,FracN_fromSoil,FracN_fromFert,kgFertN_ha,kgSoilN_ha
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6535.5,0.018379,0.43598,120.1159545,0.106967594,199.083871,1.657430703,4.076011111,NA,NA,NA,NA,NA,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,74.06426512,15.54399657,16.19481016,128.83494,20.30794366,T2,R1,7444.5,0.014112,0.43817,105.056784,0.080558004,212.8645161,2.026185345,3.026436022,NA,NA,NA,NA,NA,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6810,0.010961,0.42994,74.64441,0.100625919,205.1612903,2.748515131,2.414341111,NA,NA,NA,NA,NA,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,133.9789174,23.07005565,26.93785572,170.5577858,20.44882559,T2,R1,6162,0.01248,0.43174,76.90176,0.091553457,181.9935484,2.366571953,2.3780874,NA,NA,NA,NA,NA,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,4378.5,0.0096472,0.42479,42.2402652,0.088169423,128.1774194,3.034484247,1.246109267,NA,NA,NA,NA,NA,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6328.5,0.0135495,0.434075,85.74801075,0.081030936,181.2483871,2.113732849,2.469443517,NA,NA,NA,NA,NA,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,94.46772687,25.74621763,21.18763221,232.5353546,27.10399546,T2,R1,6405,0.010298,0.43502,65.95869,0.069276599,174.783871,2.649899065,1.607398811,NA,NA,NA,NA,NA,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,5601,0.006613,0.42838,37.039413,0.071480345,154.4516129,4.169926043,0.79186,NA,NA,NA,NA,NA,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,7887,0.012884,0.43894,101.616108,0.067127252,212.883871,2.094981545,2.373571511,NA,NA,NA,NA,NA,NA,NA
1,3,a,85,25,1-3a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,a,0,26,1-3a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,a,170,27,1-3a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,85,34,1-3d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,0,35,1-3d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,170,36,1-3d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,0,67,2-1c_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,85,68,2-1c_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,170,69,2-1c_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,85,166,3-4d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,0,167,3-4d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,170,168,3-4d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,170,220,4-4b_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,85,221,4-4b_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,0,222,4-4b_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,85,34,1-3d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,683.7,0.02329,0.42089,15.923373,0.078107426,18.50833333,1.162337485,0.33268666,NA,NA,NA,NA,NA,NA,NA
1,3,d,0,35,1-3d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,1089.3,0.017981,0.42204,19.5867033,0.088017454,29.775,1.520163937,0.410629857,NA,NA,NA,NA,NA,NA,NA
1,3,d,170,36,1-3d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,590.4,0.028079,0.43054,16.5778416,0.074985746,15.91666667,0.960116947,0.346611523,NA,NA,NA,NA,NA,NA,NA
2,1,c,0,67,2-1c_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,285.9,0.020709,0.41085,5.9207031,0.059556849,7.458333333,1.259703992,0.119863896,NA,NA,NA,NA,NA,NA,NA
2,1,c,85,68,2-1c_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,461.1,0.025703,0.41564,11.8516533,0.069726484,12.325,1.039939297,0.246054326,NA,NA,NA,NA,NA,NA,NA
2,1,c,170,69,2-1c_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,420.9,0.027524,0.42012,11.5848516,0.06778564,11.20833333,0.967499086,0.240377694,NA,NA,NA,NA,NA,NA,NA
3,4,d,85,166,3-4d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,749.7,0.026148,0.42613,19.6031556,0.080068147,20.34166667,1.037673071,0.410979906,NA,NA,NA,NA,NA,NA,NA
3,4,d,0,167,3-4d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,1051.8,0.018235,0.42287,19.179573,0.087272086,28.73333333,1.498121639,0.401967511,NA,NA,NA,NA,NA,NA,NA
3,4,d,170,168,3-4d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,615,0.026853,0.4223,16.514595,0.075854299,16.6,1.005171486,0.345265851,NA,NA,NA,NA,NA,NA,NA
4,4,b,170,220,4-4b_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,897.6,0.034259,0.42602,30.7508784,0.083899028,24.45,0.795099239,0.648165498,NA,NA,NA,NA,NA,NA,NA
4,4,b,85,221,4-4b_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,629.1,0.030213,0.42594,19.0069983,0.076336596,16.99166667,0.893968969,0.398295709,NA,NA,NA,NA,NA,NA,NA
4,4,b,0,222,4-4b_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T1,V6,439.2,0.020719,0.42559,9.0997848,0.068691163,11.71666667,1.287576237,0.187503932,NA,NA,NA,NA,NA,NA,NA
1,3,d,85,34,1-3d_85,1936U,1936,Untreated,1936,1,81.3296772,17.33282077,14.6350719,150.4742044,17.71704586,T2,R1,6021,0.010254,0.43209,61.739334,0.080573682,172.1709677,2.788675494,1.696887444,NA,NA,NA,NA,NA,NA,NA
1,3,d,0,35,1-3d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,170,36,1-3d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,0,67,2-1c_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,85,68,2-1c_85,1936U,1936,Untreated,1936,1,63.14716489,17.46472977,15.6524411,148.8407912,22.33799001,T2,R1,4374,0.011891,0.43182,52.011234,0.083326602,126.2225806,2.426833031,1.487391878,NA,NA,NA,NA,NA,NA,NA
2,1,c,170,69,2-1c_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,85,166,3-4d_85,1936U,1936,Untreated,1936,1,103.9393619,23.29694805,26.19664313,178.0445796,36.1290725,T2,R1,7968,0.011876,0.43225,94.627968,0.087537618,232.8483871,2.460671956,2.778696756,NA,NA,NA,NA,NA,NA,NA
3,4,d,0,167,3-4d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,170,168,3-4d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,170,220,4-4b_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,85,221,4-4b_85,1936U,1936,Untreated,1936,1,73.65879826,20.71328611,17.53962199,157.9932982,23.02503679,T2,R1,7900.5,NA,NA,NA,0.093718189,234.5612903,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,0,222,4-4b_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T2,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,85,34,1-3d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,0,35,1-3d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,d,170,36,1-3d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,0,67,2-1c_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,85,68,2-1c_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,c,170,69,2-1c_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,85,166,3-4d_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
