Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,T1_kgdw_ha,T2_kgdw_ha,T3_kgdw_ha,Stover_kgdw_ha,Grain_kgdw_ha,Cob_kgdw_ha,Total_kgdw_ha,T1_FracN.leco,T1_FracC.leco,T2_FracN.leco,T2_FracC.leco,T3_FracN.leco,T3_FracC.leco,Stover_FracN.leco,Stover_FracC.leco,Grain_FracN.leco,Grain_FracC.leco,T2_d15N,T2_X15N_AtPercent,T2_FracN,stover_d15N,stover_X15N_AtPercent,stover_FracN,grain_d15N,grain_X15N_AtPercent,grain_FracN,Stover_FracN_fromSoil,Grain_FracN_fromSoil,T2_FracN_fromSoil,Cob_FracN_fromSoil,Stover_FracN_fromFert,Grain_FracN_fromFert,T2_FracN_fromFert,Cob_FracN_fromFert,T0_BG_activity.g,T0_BX_activity.g,T0_CB_activity.g,T0_LAP_activity.g,T0_NAG_activity.g,T1_BG_activity.g,T1_BX_activity.g,T1_CB_activity.g,T1_LAP_activity.g,T1_NAG_activity.g,T2_BG_activity.g,T2_BX_activity.g,T2_CB_activity.g,T2_LAP_activity.g,T2_NAG_activity.g,T3_BG_activity.g,T3_BX_activity.g,T3_CB_activity.g,T3_LAP_activity.g,T3_NAG_activity.g,T2_kgN_ha,Grain_kgN_ha,Stover_kgN_ha,Cob_kgN_ha,Final_kgN_ha,T1_kgN_ha,T3_kgN_ha,Grain_kgFertN_ha,Grain_kgSoilN_ha,Stover_kgFertN_ha,Stover_kgSoilN_ha,Cob_kgFertN_ha,Cob_kgSoilN_ha,Total_kgFertN_ha,Total_kgSoilN_ha,T2_kgFertN_ha,T2_kgSoilN_ha,NUtE,R_Year.c,PostAnthesis_kgdw_ha,PostAnthesis_kgN_ha,PostAnthesis_N_kgFertN_ha,PostAnthesis_N_kgSoilN_ha
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,813,5601,NA,2146.278775,3066.81146,621.7613191,5834.851554,0.019261,0.42747,0.006613,0.42838,NA,NA,0.0041062,0.43821,0.011137,0.44002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.039413,34.15507923,8.813049906,2.553076328,45.52120546,15.659193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.37105111,1,233.8515541,8.481792464,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,1287.6,7887,NA,4755.522702,6039.59303,1165.476713,11960.59245,0.029147,0.42948,0.012884,0.43894,NA,NA,0.00342,0.44722,0.013156,0.43666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.616108,79.4568859,16.26388764,3.985930358,99.7067039,37.5296772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.57359028,1,4073.592445,-1.909404098,NA,NA
1,2,b,170,16,1-2b_170,1939,1939,Treated,1939,1,269.4,6081,8172,3235.106353,3540.189965,637.2761888,7412.572507,0.032903,0.40984,0.014188,0.43983,0.0092933,0.43233,0.0060415,0.44989,0.014146,0.43325,1277.528852,0.830380429,0.015077796,885.4033282,0.688396784,0.00608524,833.9945036,0.669752154,0.013921342,0.498012443,0.526113327,0.271303901,0.526113327,0.501987557,0.473886673,0.728696099,0.473886673,NA,NA,NA,NA,NA,96.79330864,21.01421275,21.70019477,46.58059005,20.24605801,NA,NA,NA,NA,NA,123.3897818,30.13991388,33.29763381,219.5503757,35.55785312,86.277228,50.07952724,19.54489503,3.850104095,73.47452637,8.8640682,2.50361502,23.35512333,25.92907192,9.88232714,9.804071443,1.824513021,2.025591074,35.06196349,37.75873444,66.81274442,24.87533306,48.18254897,4,1331.572507,-12.80270163,-31.75078093,12.88340138
1,2,b,85,17,1-2b_85,1939,1939,Treated,1939,1,221.7,3792,8829,2647.605434,2406.644332,536.0436831,5590.293449,0.025793,0.41236,0.013131,0.43453,0.0088007,0.43442,0.003883,0.43676,0.014235,0.43615,671.2750271,0.610691902,0.012725231,577.1552529,0.576498354,0.003706471,535.3300009,0.561295762,0.013699779,0.676851452,0.698893722,0.622692328,0.698893722,0.323148548,0.301106278,0.377307672,0.301106278,NA,NA,NA,NA,NA,73.07756065,21.93980454,17.3134337,34.54073982,15.29530339,86.27233649,17.84434141,20.13754793,135.2741427,20.30095918,109.8432837,30.73782916,22.81704916,238.2063359,26.13779665,49.792752,34.25858207,10.2806519,2.081457621,46.62069159,5.7183081,1.95111519,9.927623193,23.04287229,3.171144845,6.642127915,0.626739958,1.454717663,13.725508,31.13971787,18.20663306,30.04744289,51.62180676,4,1798.293449,-3.172060412,-4.481125068,1.092274978
1,2,b,0,18,1-2b_0,1939,1939,Treated,1939,1,154.5,1645.5,3993,2744.982583,1111.704572,255.4704107,4112.157566,0.021774,0.41221,0.011061,0.41849,0.0054621,0.42354,0.0058661,0.42987,0.013755,0.44007,15.23611225,0.37186357,0.011216055,11.29323574,0.370424712,0.005934256,10.3624884,0.370085052,0.014359432,1.006203758,1.003508889,1.00469458,1.003508889,-0.006203758,-0.003508889,-0.00469458,-0.003508889,NA,NA,NA,NA,NA,76.74884377,22.75186146,21.5323145,35.66293043,15.98934245,NA,NA,NA,NA,NA,100.1899658,25.99065897,25.59635138,232.7641934,28.05134342,18.2008755,15.29149639,16.10234233,1.498614976,32.89245369,3.364083,0.84389445,-0.056013953,16.01946016,-0.101055678,16.39048504,-0.005258473,1.503873449,-0.162328103,33.91381865,-0.086643248,18.54266175,33.79816484,4,2466.657566,14.69157819,-0.075684855,15.3711569
2,3,d,85,94,2-3d_85,1939,1939,Treated,1939,1,639.3,5539.5,9504,2681.738844,3018.4004,536.7235494,6236.862793,0.0218465,0.423865,0.010082,0.43884,0.0077104,0.43913,0.0034191,0.45158,0.01323,0.4395,521.9245819,0.556422192,0.010090519,494.7482141,0.546540698,0.003484734,645.5569887,0.60135092,0.013138565,0.724730564,0.635082397,0.709495896,0.635082397,0.275269436,0.364917603,0.290504104,0.364917603,NA,NA,NA,NA,NA,82.09018981,24.83165902,24.44744308,53.23462683,24.64701404,70.63118752,17.96509455,12.77478016,155.8985078,20.0869118,106.5445195,39.50057063,35.66396639,243.4007118,37.33737642,55.849239,39.93343729,9.169133282,1.835111488,50.93768206,13.96646745,4.92925872,14.47170154,25.18574832,2.572433211,6.772713318,0.669664485,1.165447003,17.71379923,33.12390864,16.2381423,39.6582877,59.25672857,4,697.3627934,-4.911556939,1.475656928,-6.534379061
2,3,d,0,95,2-3d_0,1939,1939,Treated,1939,1,684.3,4419,5958,3823.933361,3175.035484,679.8809316,7678.849777,0.020245,0.42283,0.0077308,0.4285,0.005745,0.4294,0.0032547,0.46836,0.013062,0.44111,20.32485579,0.373720524,0.007663465,32.07222454,0.378007038,0.002982445,19.88946399,0.373561646,0.013060108,0.994085485,0.997970374,1.00172441,0.997970374,0.005914515,0.002029626,-0.00172441,0.002029626,NA,NA,NA,NA,NA,65.73081131,12.31003937,14.95732084,43.05200658,17.17039382,NA,NA,NA,NA,NA,104.3132242,33.24185832,37.15486201,211.7653354,29.0461349,34.1624052,41.47231349,12.44575591,2.212808468,56.13087787,13.8536535,3.9313035,0.084161087,41.38214524,0.067453092,11.33721784,0.004491173,2.208317295,0.156105352,54.92768037,-0.058396896,33.92324873,56.5648642,4,3259.849777,21.96847267,0.214502248,21.00443164
2,3,d,170,96,2-3d_170,1939,1939,Treated,1939,1,283.8,4528.5,9405,4102.863352,5618.440165,963.9792582,10685.28278,0.021616,0.42386,0.015165,0.44151,0.0093185,0.43857,0.0038995,0.44907,0.011982,0.43089,1072.55138,0.756211384,0.016156686,715.0583674,0.626590299,0.00401322,810.0457365,0.661064175,0.012552627,0.59679319,0.539954027,0.389936151,0.539954027,0.40320681,0.460045973,0.610063849,0.460045973,NA,NA,NA,NA,NA,64.64446687,14.17755818,14.32037176,48.11335978,20.59138423,NA,NA,NA,NA,NA,110.7935217,33.56168707,33.95914059,194.2067488,32.91473086,68.6747025,67.32015006,15.99911564,3.759037117,87.07830282,6.1346208,2.6445903,32.44528679,38.08089693,6.639079656,9.826613606,1.729329887,2.02970723,40.81369633,49.93721776,44.63565725,28.52989304,64.52170039,4,6156.782775,18.40360032,-3.82196092,21.40732472
3,5,c,0,175,3-5c_0,1939,1939,Treated,1939,1,195.9,3901.5,5052,3173.498715,2206.619423,465.5710762,5845.689214,0.019737,0.41824,0.010434,0.42622,0.006252,0.42482,0.0035124,0.44321,0.01059,0.43148,25.57897293,0.375637752,0.010032443,15.6277769,0.372006496,0.003295602,13.80847733,0.371342594,0.012086651,1.003675709,1.001505516,0.998657833,1.001505516,-0.003675709,-0.001505516,0.001342167,-0.001505516,NA,NA,NA,NA,NA,112.2519983,23.70093721,27.93186407,91.53027933,43.17636734,NA,NA,NA,NA,NA,111.1070685,29.77588275,34.45304603,195.5917378,32.10247835,40.708251,23.36809969,11.14659689,1.635271848,36.14996842,3.8664783,1.2247668,-0.040153061,26.71079192,-0.038442731,10.49703144,-0.002461927,1.637733775,-0.08105772,38.84555714,0.052534515,39.08904185,61.04070126,4,1944.189214,-4.558282576,-0.133592235,-0.243484714
3,5,c,85,176,3-5c_85,1939,1939,Treated,1939,1,189.9,5109,9876,3374.056381,4478.089289,821.4105436,8673.556214,0.024337,0.41986,0.011493,0.43466,0.0085671,0.43237,0.0049616,0.43525,0.012276,0.43414,677.4073093,0.612918934,0.012663166,511.1322844,0.552498282,0.004729629,551.6623836,0.56723279,0.012110898,0.715208997,0.689435523,0.619130224,0.689435523,0.284791003,0.310564477,0.380869776,0.310564477,NA,NA,NA,NA,NA,83.76845457,25.1045821,23.55987785,49.22809977,22.77454859,104.0713035,18.27176509,17.7080244,164.4201236,18.13206409,81.67696311,25.65155317,23.84236601,211.037005,28.85872829,58.717737,54.97302411,16.74071814,4.075510553,75.7892528,4.6215963,1.62689229,16.84305525,37.39062736,4.544704765,11.41333014,1.265708802,2.809801751,22.65346882,51.61375925,24.64079484,40.05532026,59.08607254,4,3564.556214,17.0715158,-1.987326015,11.558439
3,5,c,170,177,3-5c_170,1939,1939,Treated,1939,1,301.5,6405,10656,4326.416569,5298.223553,944.89056,10569.53068,0.025878,0.41664,0.014906,0.44118,0.011248,0.43286,0.0041577,0.44639,0.014345,0.43568,1113.911632,0.77118611,0.014879205,797.0792781,0.656359653,0.004200771,916.6963757,0.699742523,0.014811826,0.549215027,0.47833608,0.365984305,0.47833608,0.450784973,0.52166392,0.634015695,0.52166392,NA,NA,NA,NA,NA,74.45039247,21.77484224,22.76532868,51.22148974,20.16613761,NA,NA,NA,NA,NA,94.41679401,26.39047084,28.7932669,203.5305905,35.43609,95.47293,76.00301687,17.98794217,3.928571481,97.91953052,7.802217,3.391272,40.93828838,37.53807699,8.192694696,9.981590561,2.049393999,1.879177483,51.18037708,49.39884504,60.422525,34.87878302,54.1079346,4,4164.530682,2.446600518,-9.242147926,14.52006202
